                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7712,                 1.5341,                 1.3667,                0.43462,                0.67696,                0.44124,                0.22635,                 1.6626,                 1.4154,                 1.4238,             0.00066579,             0.00066579,             0.00066579
                      2,                 1.8908,                  1.553,                 1.4733,                 0.7922,                0.69573,                0.75997,                0.39337,                  1.733,                 1.3398,                 1.4779,              0.0013105,              0.0013105,              0.0013105
                      3,                 1.8631,                 1.4992,                 1.4221,                0.76484,                0.57929,                0.68098,                0.35021,                 1.7421,                 1.5091,                 1.4883,              0.0019332,              0.0019332,              0.0019332
                      4,                 1.8597,                 1.4992,                 1.4685,                0.76837,                0.70934,                0.76404,                 0.3597,                 1.7343,                  1.329,                 1.4545,               0.001901,               0.001901,               0.001901
                      5,                 1.7677,                  1.354,                 1.4074,                0.84556,                0.70501,                0.78563,                0.42487,                  1.593,                 1.2264,                 1.3864,               0.001901,               0.001901,               0.001901
                      6,                 1.7377,                 1.2975,                  1.378,                0.83568,                 0.7551,                0.83347,                0.44409,                 1.5877,                 1.1313,                 1.3557,               0.001868,               0.001868,               0.001868
                      7,                 1.7031,                 1.2684,                 1.3636,                 0.8849,                0.77023,                0.85536,                0.46139,                  1.577,                  1.125,                 1.3569,               0.001835,               0.001835,               0.001835
                      8,                 1.6502,                 1.1786,                  1.321,                0.89162,                0.81447,                0.88764,                0.48015,                 1.5447,                 0.9874,                  1.319,               0.001802,               0.001802,               0.001802
                      9,                 1.6308,                 1.1408,                 1.3329,                0.86029,                 0.7415,                 0.8318,                0.47202,                 1.5206,                 1.0477,                 1.3432,               0.001769,               0.001769,               0.001769
                     10,                 1.6054,                 1.0973,                 1.3028,                0.86507,                0.83662,                0.87411,                0.46487,                 1.5174,                  1.047,                 1.3241,               0.001736,               0.001736,               0.001736
                     11,                 1.5463,                 1.0755,                 1.2741,                0.88211,                0.83756,                0.89821,                0.52607,                 1.4053,                0.93939,                 1.2503,               0.001703,               0.001703,               0.001703
                     12,                 1.5192,                 1.0423,                 1.2561,                0.83855,                0.82313,                0.88281,                0.51801,                 1.4163,                0.90239,                  1.258,                0.00167,                0.00167,                0.00167
